"","geneid","gene_name"
"612","FBgn0020236","ATPCL"
"613","FBgn0020249","stck"
"614","FBgn0020251","sfl"
"615","FBgn0020257","Ppa"
"616","FBgn0020270","mre11"
"617","FBgn0020272","mst"
"618","FBgn0020278","loco"
"619","FBgn0020299","stumps"
"620","FBgn0020300","geko"
"621","FBgn0020305","dbe"
"622","FBgn0020312","Tmtc3"
"623","FBgn0020369","Rpt6"
"624","FBgn0020381","Dredd"
"625","FBgn0020385","pug"
"626","FBgn0020388","Gcn5"
"627","FBgn0020389","Papss"
"628","FBgn0020414","Idgf3"
"629","FBgn0020415","Idgf2"
"630","FBgn0020416","Idgf1"
"631","FBgn0020443","eRF3"
"632","FBgn0020493","Dad"
"633","FBgn0020503","CLIP-190"
"634","FBgn0020513","Paics"
"635","FBgn0020521","pio"
"636","FBgn0020545","kraken"
"637","FBgn0020616","SA"
"638","FBgn0020621","Pkn"
"639","FBgn0020653","Trxr-1"
"640","FBgn0020660","eIF4B"
"641","FBgn0020762","Atet"
"642","FBgn0020764","Alas"
"643","FBgn0020765","Acp65Aa"
"644","FBgn0020767","Spred"
"645","FBgn0020907","Scp2"
"646","FBgn0020908","Scp1"
"647","FBgn0020909","Rtc1"
"648","FBgn0020910","RpL3"
"649","FBgn0020930","Dgkepsilon"
"650","FBgn0021760","chb"
"651","FBgn0021761","Nup154"
"652","FBgn0021765","scu"
"653","FBgn0021768","nudC"
"654","FBgn0021795","Tapdelta"
"655","FBgn0021796","Tor"
"656","FBgn0021800","Reph"
"657","FBgn0021814","Vps28"
"658","FBgn0021825","DCTN2-p50"
"659","FBgn0021847","Ttc7"
"660","FBgn0021872","Xbp1"
"661","FBgn0021874","Nle"
"662","FBgn0021875","Zfrp8"
"663","FBgn0021895","ytr"
"664","FBgn0021944","Coprox"
"665","FBgn0021967","ND-PDSW"
"666","FBgn0021979","l(2)k09913"
"667","FBgn0021995","Rs1"
"668","FBgn0022027","Vps25"
"669","FBgn0022029","l(2)k01209"
"670","FBgn0022097","Vha36-1"
"671","FBgn0022160","Gpo1"
"672","FBgn0022224","ubl"
"673","FBgn0022288","l(2)09851"
"674","FBgn0022349","CG1910"
"675","FBgn0022355","Tsf1"
"676","FBgn0022359","Sodh-2"
"677","FBgn0022361","Pur-alpha"
"678","FBgn0022382","Pka-R2"
"679","FBgn0022699","D19B"
"680","FBgn0022702","Cht2"
"681","FBgn0022709","Adk1"
"682","FBgn0022770","Peritrophin-A"
"683","FBgn0022774","Oat"
"684","FBgn0022787","Hel89B"
"685","FBgn0022800","Cad96Ca"
"686","FBgn0022936","CycH"
"687","FBgn0022942","Cbp80"
"688","FBgn0022943","Cbp20"
"689","FBgn0022984","qkr58E-3"
"690","FBgn0022986","qkr58E-1"
"691","FBgn0023000","mth"
"692","FBgn0023023","CRMP"
"693","FBgn0023076","Clk"
"694","FBgn0023081","gek"
"695","FBgn0023129","aay"
"696","FBgn0023169","AMPKalpha"
"697","FBgn0023170","RpL39"
"698","FBgn0023174","Prosbeta2"
"699","FBgn0023175","Prosalpha7"
"700","FBgn0023212","EloB"
"701","FBgn0023213","eIF4G1"
"702","FBgn0023214","edl"
"703","FBgn0023441","fus"
"704","FBgn0023477","Taldo"
"705","FBgn0023479","teq"
"706","FBgn0023507","D2hgdh"
"707","FBgn0023509","mip130"
"708","FBgn0023511","Edem1"
"709","FBgn0023514","CG14805"
"710","FBgn0023516","Pex5"
"711","FBgn0023521","CG3587"
"712","FBgn0023522","CG11596"
"713","FBgn0023525","CG3191"
"714","FBgn0023527","CG3071"
"715","FBgn0023530","CG3740"
"716","FBgn0023535","arg"
"717","FBgn0023536","CG3156"
"718","FBgn0023537","CG17896"
"719","FBgn0023540","CG3630"
"720","FBgn0023542","Nmd3"
"721","FBgn0023545","PIG-K"
"722","FBgn0023549","Mct1"
"723","FBgn0023550","FarO"
"724","FBgn0024183","vig"
"725","FBgn0024194","rasp"
"726","FBgn0024196","robl"
"727","FBgn0024230","Hs2st"
"728","FBgn0024234","gbb"
"729","FBgn0024236","foi"
"730","FBgn0024248","chico"
"731","FBgn0024251","bbx"
"732","FBgn0024277","trio"
"733","FBgn0024289","Sodh-1"
"734","FBgn0024291","Sirt1"
"735","FBgn0024293","Spn43Ab"
"736","FBgn0024315","Picot"
"737","FBgn0024320","Npc1a"
"738","FBgn0024352","Stip1"
"739","FBgn0024361","Tsp2A"
"740","FBgn0024364","CG11417"
"741","FBgn0024371","E2f2"
"742","FBgn0024509","Sec13"
"743","FBgn0024542","Neos"
"744","FBgn0024689","fws"
"745","FBgn0024734","PRL-1"
"746","FBgn0024754","Flo1"
"747","FBgn0024804","Dbp80"
"748","FBgn0024807","DIP1"
"749","FBgn0024811","Crk"
"750","FBgn0024833","AP-1mu"
"751","FBgn0024841","Pcd"
"752","FBgn0024846","p38b"
"753","FBgn0024887","kin17"
"754","FBgn0024889","Kap-alpha1"
"755","FBgn0024912","agt"
"756","FBgn0024945","NitFhit"
"757","FBgn0024947","NTPase"
"758","FBgn0024956","Mat1"
"759","FBgn0024957","Irp-1B"
"760","FBgn0024958","Irp-1A"
"761","FBgn0024973","CG2701"
"762","FBgn0024980","Syx4"
"763","FBgn0024983","CG4293"
"764","FBgn0024985","Rilpl"
"765","FBgn0024986","CG3719"
"766","FBgn0024992","Spg7"
"767","FBgn0024995","CG2680"
"768","FBgn0024996","eIF2Bbeta"
"769","FBgn0025109","Bem46"
"770","FBgn0025335","Cpes"
"771","FBgn0025336","CG4882"
"772","FBgn0025352","Mtpbeta"
"773","FBgn0025366","Ip259"
"774","FBgn0025394","inc"
"775","FBgn0025454","Cyp6g1"
"776","FBgn0025456","CREG"
"777","FBgn0025457","Bub3"
"778","FBgn0025469","slv"
"779","FBgn0025525","bab2"
"780","FBgn0025558","CG4101"
"781","FBgn0025574","Pli"
"782","FBgn0025582","eIF3e"
"783","FBgn0025583","BomS2"
"784","FBgn0025592","Gk1"
"785","FBgn0025595","AkhR"
"786","FBgn0025608","Faf2"
"787","FBgn0025615","Torsin"
