"","geneid","gene_name","type","AICc_01full","AICc_02full","AICc_07full","AICc_08full","AICc_11full","AICc_12full","AICc_13full","AICc_14full","AICc_15full","AICc_16full","AICc_01partial","AICc_02partial","AICc_07partial","AICc_08partial","AICc_11partial","AICc_12partial","AICc_13partial","AICc_14partial","AICc_15partial","AICc_16partial","model","TRUE_lambda"
"8289","FBgn0037765","CG9458",16,991.867344065111,919.343959604271,984.324548255174,912.525272502779,993.969882793065,915.210418405375,995.814020883683,914.926054388395,986.642732470936,907.897112003918,1005.79274154495,923.991721702433,1006.93804096826,934.384645207713,1007.70330199433,963.774486885446,1006.69591534826,919.047940078386,1006.55696741961,926.226857534198,"16f",0.161660946797474
"8351","FBgn0037873","SdhC",12,724.64391489342,715.889917287585,728.976608272102,719.25551081762,719.260450856161,705.351811958535,724.654849765397,713.557656938654,724.364178528751,708.872581733745,726.717036866707,721.317987098722,727.065814322658,723.842074925897,728.085443440301,730.162955549285,720.920107600544,716.44352015176,722.872609196068,723.856484836373,"12f",0.370725965166534
"8356","FBgn0037878","CG6693",1,433.021677667279,435.337638920908,435.761904794972,437.759918212649,437.614601353035,439.648510136309,437.251319846485,437.843996989739,440.270419468062,442.470058056431,442.130810511821,438.437249810952,443.201451748783,439.963503324413,444.194232101274,445.328509771274,443.126905808633,439.838807094802,445.00108221188,444.123550286158,"01f",0.0401275472939585
"8373","FBgn0037898","Dtd",1,445.728678326118,448.304971481631,448.17582272296,450.404492219935,448.430678982899,450.729190882278,449.904225782384,452.21903587454,451.009346956287,453.291220164188,459.717992818428,458.652338080061,457.617176479463,456.790081229043,459.966513028965,461.206065599084,460.172484510929,459.689500968676,457.880088601216,458.959664566708,"01f",0.03
"8376","FBgn0037901","Exd2",16,432.890443805478,426.956188439349,425.558351202731,411.04705814394,432.681130410374,426.947762757683,427.543876463549,417.119686298564,425.916199967928,408.96026920187,432.302007087689,431.581049674707,424.54124492206,426.637775287308,431.841292281455,433.926864236857,424.072221778785,420.097153333084,425.791835372589,427.540671941202,"16f",0.0500648664983222
"8398","FBgn0037935","CG6834",14,481.321122167473,458.474407335826,470.88977912929,443.08594447339,477.541531195457,448.637859264902,467.554367882709,426.030717528172,466.751864492489,431.069865740183,479.228952219589,463.87684893549,479.007325264206,446.103601861196,473.911053870795,467.900334981452,462.234854057997,432.394231256027,464.442188453663,437.583328523175,"14f",0.213667631140333
"8399","FBgn0037936","CG6908",14,467.933733698253,448.887887817618,469.304047549171,448.580411994036,468.834722904148,445.152938210963,470.580961764604,442.536764740508,469.672327300909,445.218964636976,466.462809063513,466.89212079834,468.048364174999,466.736814638659,465.186977959388,461.812034688743,468.965887213167,467.741388804576,469.465539635778,463.661939568105,"14f",0.03
"8425","FBgn0037981","Spt3",1,264.671646194602,266.998165974049,268.833879126204,271.280678669535,268.321413041115,270.587355920151,268.532307509663,270.805082656834,272.685167799362,275.25006695135,271.493006890129,270.483498330717,273.222411149135,269.91509163085,273.367456926827,272.661688009461,275.622315500685,273.074624770432,277.292348003451,273.926029618372,"01f",0.0393096864979957
"8450","FBgn0038013","CG10038",2,398.910762955964,378.369380380287,402.161211347204,383.389126014157,399.525759556167,380.472809111432,402.925551310455,383.059404305158,402.935039465623,386.843004797793,395.810582872985,391.856898049693,397.802068955491,391.775321762935,397.923709419797,390.281828391114,399.674887110157,393.659003560124,401.907624217801,390.875009844858,"02f",0.03
"8458","FBgn0038032","CG10096",15,591.32230511665,592.352792487645,586.342304479945,584.950703421848,558.032818838189,554.197189167389,556.543826998331,558.967787886471,542.357247695254,544.362944791069,596.040430639253,594.922916804439,598.140076463684,599.234799367909,593.276487694948,578.225087211609,563.225650421174,565.18521680735,560.852622579565,558.110269674789,"15f",0.0312343435781811
"8473","FBgn0038055","trus",8,330.734586711667,326.159736419771,330.662900098474,321.520676017497,333.549146266057,329.032525144225,331.341000326555,326.98447030914,333.533192409622,324.54714921008,332.607540319137,333.599592031948,333.633750737505,335.472603201395,333.728010440191,334.000425630829,330.73903811854,332.456254888685,332.930510945015,335.008046290555,"08f",0.161048207587106
"8522","FBgn0038129","TBC1D5",2,617.253192937678,611.368150740094,621.404559079583,613.213657429623,619.460673912928,615.807389219797,621.532790263489,614.20825505995,624.514097171092,617.5032563924,615.998383427605,609.272823249357,617.437457498127,616.883316478857,616.824181637507,612.208175827008,618.841408206224,612.351660669935,618.614612033751,615.400899888754,"02p",Inf
"8535","FBgn0038145","Droj2",14,785.006846812772,777.431765257734,787.965468580405,774.527209862041,787.043774968289,778.313040569976,783.547018157953,770.731285914046,787.967349388434,776.92960660735,803.113376713336,799.771731701058,802.413164297278,799.7182846141,804.710164858395,798.341434655324,802.924532210965,795.591141132636,805.001680300762,797.369620300538,"14f",0.129733069391442
"8591","FBgn0038224","ATPsynE",2,809.301286071708,790.896987034886,810.33951532298,822.08705487111,814.063362759417,794.882429350366,810.92418532378,822.987469032424,815.443563002864,813.686349925288,815.112175410518,803.480285167146,817.068327696545,815.771975807151,816.153421008655,811.502349908114,817.475286811934,806.835566111815,819.608854661122,814.704702750444,"02f",0.817566161827456
"8621","FBgn0038272","CG7265",2,470.112473857904,402.784042333544,465.883804877661,407.523511911089,472.857241208786,405.014108541149,473.684172290742,406.219665455297,466.703771237232,409.197727789779,468.997719367034,429.64158100193,470.217634376567,443.265038659756,469.994098796874,443.681166368685,470.495528232977,429.567799106536,468.23875713824,441.48126141131,"02f",0.03
