"","geneid","gene_name","int_25C","cos_25C","sin_25C","decaycos","decaysin","decayint","cos_18C","sin_18C","lambda","pval_cycle_25C","pval_cycle_18C","pval_cycle_diff","pval_phase_diff","pval_amp_diff","pval_median_diff","small_tpm","nboot","niter","convergence"
"16345","FBgn0266681","asRNA:CR45171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16346","FBgn0266682","lncRNA:CR45172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16347","FBgn0266683","lncRNA:CR45173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16348","FBgn0266684","lncRNA:CR45174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16349","FBgn0266685","asRNA:CR45175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16350","FBgn0266686","lncRNA:CR45176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16351","FBgn0266687","lncRNA:CR45177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16352","FBgn0266688","lncRNA:CR45178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16353","FBgn0266689","lncRNA:CR45179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16354","FBgn0266690","lncRNA:CR45180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16355","FBgn0266691","lncRNA:CR45181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16356","FBgn0266692","asRNA:CR45182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16357","FBgn0266693","lncRNA:CR45183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16358","FBgn0266694","lncRNA:CR45184",11.4515861001452,0.319100536240892,-0.891586098910929,435.371467348217,82.4656288982139,-440.13290101863,1.39282682060686,-0.0770733029997134,0.700393739333567,0.599,0.11,0.549,0.562,0.47,0.002,FALSE,1000,60,TRUE
"16359","FBgn0266696","Svil",55.1583996311053,1.86899860123805,1.91160036850517,65.7972793446207,-50.8689397032696,-74.5077114077379,2.6909356516867,-0.745725807797403,0.341346730557603,0.717,0.26,0.778,0.69,0.576,0.086,FALSE,1000,77,TRUE
"16360","FBgn0266697","lncRNA:CR45187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16361","FBgn0266698","lncRNA:CR45188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16362","FBgn0266699","asRNA:CR45189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16363","FBgn0266700","asRNA:CR45190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16364","FBgn0266701","lncRNA:CR45191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16365","FBgn0266702","asRNA:CR45192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16366","FBgn0266703","lncRNA:CR45193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16367","FBgn0266705","asRNA:CR45195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16368","FBgn0266706","lncRNA:CR45196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16369","FBgn0266707","lncRNA:CR45197",8.68376999100139,0.273445615625392,-0.935513627792636,-120.217839334961,-38.8432073408674,116.342512899932,-1.27731953702858,2.56192113861962,0.516451231447439,0.184,0.178,0.03,0.906,0.284,0,FALSE,1000,182,TRUE
"16370","FBgn0266708","Cep89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16371","FBgn0266709","Zmynd10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16372","FBgn0266710","hog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16373","FBgn0266711","EloC",269.098735103386,-5.72617395201792,6.23423220906226,6221.69943160885,1899.02553636089,-6241.25565827556,9.60222645332347,1.31524069129405,0.976975059687913,0.481,0.476,0.524,0.504,0.916,0.156,FALSE,1000,93,TRUE
"16374","FBgn0266717","Bruce",32.7748039005756,0.704883338772219,-3.25723673474627,93.178499313541,-58.746957708848,-91.4799423912181,0.844664617630038,1.98997880100154,0.580864677470605,0,0.099,0.056,0.152,0.276,0.002,FALSE,1000,69,TRUE
"16375","FBgn0266719","stac",21.4428491831137,-0.869274883069191,-0.102870459556514,1153.7008012336,514.084651733419,-1157.23934413615,-0.0748285333304298,0.279069872904965,0.990985009086905,0.807,0.75,0.965,0.936,0.58,0,FALSE,1000,77,TRUE
"16376","FBgn0266720","Snap24",22.2758298645078,1.85137389541008,-1.84677328866377,788.619089888127,174.119576495173,-788.921612127999,-0.477708491690866,1.55447509224732,1.00428926462596,0.016,0.466,0.364,0.454,0.524,0.474,FALSE,1000,272,TRUE
"16377","FBgn0266721","gammaSnap2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16378","FBgn0266722","Trs33",17.4780994335485,0.272202597184494,-1.24891736883296,-0.00862329169297897,-3.26812975212254,-5.78992103727245,2.3192607563474,1.33684189293003,0.03,0.132,0,0,0.052,0.142,0,FALSE,1000,89,TRUE
"16379","FBgn0266723","Trs31",31.423670438323,0.744894204989037,-0.597284288373339,15.8815722292938,-1.75594782301093,-16.3219319755112,-0.728695761383318,0.0866515774648051,0.0999226481206867,0.731,0.737,0.881,0.856,0.986,0.32,FALSE,1000,53,TRUE
"16380","FBgn0266724","Trs20",21.8522588887839,-1.50722691909435,1.88666655491597,1.50753058746873,-2.06087495167643,-8.26013869332697,1.64740600731819,-1.57964512621676,0.0395929416148945,0.121,0.981,0.52,0.946,0.424,0,FALSE,1000,47,TRUE
"16381","FBgn0266725","asRNA:CR45198",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16382","FBgn0266726","lncRNA:CR45199",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16383","FBgn0266727","lncRNA:CR45200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16384","FBgn0266728","lncRNA:CR45201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16385","FBgn0266729","asRNA:CR45202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16386","FBgn0266730","lncRNA:CR45203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16387","FBgn0266731","lncRNA:CR45204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16388","FBgn0266732","asRNA:CR45205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16389","FBgn0266733","asRNA:CR45206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16390","FBgn0266734","CG45207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16391","FBgn0266735","asRNA:CR45208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16392","FBgn0266736","asRNA:CR45209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16393","FBgn0266737","asRNA:CR45210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16394","FBgn0266738","lncRNA:CR45211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16395","FBgn0266739","lncRNA:CR45212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16396","FBgn0266740","asRNA:CR45213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16397","FBgn0266741","asRNA:CR45214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16398","FBgn0266742","lncRNA:CR45215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16399","FBgn0266743","lncRNA:CR45216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16400","FBgn0266744","lncRNA:CR45217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16401","FBgn0266745","CG45218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16402","FBgn0266747","lncRNA:CR45220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16403","FBgn0266748","lncRNA:CR45221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16404","FBgn0266749","lncRNA:CR45222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16405","FBgn0266750","lncRNA:CR45223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16406","FBgn0266751","lncRNA:CR45224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16407","FBgn0266752","lncRNA:CR45225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"16408","FBgn0266753","lncRNA:CR45226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
